videoId,channelId
pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q
6Mgqbai3fKo,UCGnjeahCJW1AF34HBmQTJ-Q
sPTn0QEhxds,UCGnjeahCJW1AF34HBmQTJ-Q
DUT5rEU6pqM,UCGnjeahCJW1AF34HBmQTJ-Q
7-7knsP2n5w,UCGnjeahCJW1AF34HBmQTJ-Q
weRHyjj34ZE,UCGnjeahCJW1AF34HBmQTJ-Q
XAhTt60W7qo,UCGnjeahCJW1AF34HBmQTJ-Q
booKP974B0k,UCGnjeahCJW1AF34HBmQTJ-Q
o3mP3mJDL2k,UCGnjeahCJW1AF34HBmQTJ-Q
lolcats,UCYLNGLIzMhRTi6ZOLjAPSmw
XEvKn-QgAY0,UCphlOJ8CqfyUi9ayZ2UZmfg
MntbN1DdEP0,UCGnjeahCJW1AF34HBmQTJ-Q
OZUzX4kbtDU,UCGnjeahCJW1AF34HBmQTJ-Q
T_i72vlYTOA,UCFiRvblNhMOdBu9KydSfafg
iGvG4yGgeq8,UCLoIrdl_6X_3K9QX3MdjMoA
-UV0QGLmYys,UChcn-n6L8vYHzsqOwOubdRQ
c6rP-YP4c5I,UCGnjeahCJW1AF34HBmQTJ-Q
D1gpGsQ6KNs,UC-x8CwT3Wjjfl7qXIrb4-PQ
Dsp_8Lm1eSk,UCGnjeahCJW1AF34HBmQTJ-Q
PI76hM8Aq_4,UCQRELbX0H5FCokIFxOAsHFA
q5SG7U76tls,UCVWA4btXTFru9qM06FceSag
HaxvTmyKZzw,UCGnjeahCJW1AF34HBmQTJ-Q
T0ivG4Ew-Lk,UCGnjeahCJW1AF34HBmQTJ-Q
QapfTGTXbxc,UCGnjeahCJW1AF34HBmQTJ-Q
eZKnEamh8mI,UCGnjeahCJW1AF34HBmQTJ-Q
a5irTX82olg,UCGnjeahCJW1AF34HBmQTJ-Q
QrOe2h9RtWI,UC9zX2xZIJ4cnwRsgBpHGvMg
cg7gCTxCEpA,UCsUWXiq3T-G9-wl-oLCuO9g
o5U5ivOnJjs,UCGnjeahCJW1AF34HBmQTJ-Q
FwjFIJ6lD9U,UCGnjeahCJW1AF34HBmQTJ-Q
YVaahuLdrng,UCW9wAlHYNUyauqIZVE46FmA
vWgLZq-k414,UCS2jZSYtPn-KOvxbMc5x-Mg
Ntn1-SocNiY,UCGnjeahCJW1AF34HBmQTJ-Q
_3-GiVIE8gc,UCGnjeahCJW1AF34HBmQTJ-Q
tVcE5PFXpbQ,UCGnjeahCJW1AF34HBmQTJ-Q
5BzkbSq7pww,UCGnjeahCJW1AF34HBmQTJ-Q
Ut_UCqgAOfY,UC_CCjVWoYWYpvuU_4vepoAQ
I67cgXr6L6o,UCGnjeahCJW1AF34HBmQTJ-Q
ImePXu7HaWI,UCGnjeahCJW1AF34HBmQTJ-Q
QoNIR8bGSEg,UCGnjeahCJW1AF34HBmQTJ-Q
QqVx5rvHdSk,UCI4QoLdb6PLd9f1Wch_o8Cg
XQZsHFQS4Q0,UC8QZVPg_GLLsL6Ou9D_NuPg
NnF1Pb_IXpI,UC8QZVPg_GLLsL6Ou9D_NuPg
ZHMDLOOP69I,UCGnjeahCJW1AF34HBmQTJ-Q
rLcab_Db-LA,UCDUxOvbwu1bnyD7AucP0ESw
Tl8EZCE18Ls,UCmR-oFhgGGe-dCRiDg2ysLw
KewfYKJy8YU,UCGnjeahCJW1AF34HBmQTJ-Q
eCna-hsmGUY,UCGnjeahCJW1AF34HBmQTJ-Q
-befR4wHsjQ,UCGnjeahCJW1AF34HBmQTJ-Q
mu0CIPXrxwM,UCOiFUE8BrJaAje9IlSmzCtg
pRpeEdMmmQ0,UCGnjeahCJW1AF34HBmQTJ-Q
6Mgqbai3fKo,UCGnjeahCJW1AF34HBmQTJ-Q
sPTn0QEhxds,UCGnjeahCJW1AF34HBmQTJ-Q
DUT5rEU6pqM,UCGnjeahCJW1AF34HBmQTJ-Q
7-7knsP2n5w,UCGnjeahCJW1AF34HBmQTJ-Q
weRHyjj34ZE,UCGnjeahCJW1AF34HBmQTJ-Q
XAhTt60W7qo,UCGnjeahCJW1AF34HBmQTJ-Q
booKP974B0k,UCGnjeahCJW1AF34HBmQTJ-Q
o3mP3mJDL2k,UCGnjeahCJW1AF34HBmQTJ-Q
lolcats,UCYLNGLIzMhRTi6ZOLjAPSmw
XEvKn-QgAY0,UCphlOJ8CqfyUi9ayZ2UZmfg
MntbN1DdEP0,UCGnjeahCJW1AF34HBmQTJ-Q
OZUzX4kbtDU,UCGnjeahCJW1AF34HBmQTJ-Q
T_i72vlYTOA,UCFiRvblNhMOdBu9KydSfafg
iGvG4yGgeq8,UCLoIrdl_6X_3K9QX3MdjMoA
-UV0QGLmYys,UChcn-n6L8vYHzsqOwOubdRQ
c6rP-YP4c5I,UCGnjeahCJW1AF34HBmQTJ-Q
D1gpGsQ6KNs,UC-x8CwT3Wjjfl7qXIrb4-PQ
Dsp_8Lm1eSk,UCGnjeahCJW1AF34HBmQTJ-Q
PI76hM8Aq_4,UCQRELbX0H5FCokIFxOAsHFA
q5SG7U76tls,UCVWA4btXTFru9qM06FceSag
HaxvTmyKZzw,UCGnjeahCJW1AF34HBmQTJ-Q
T0ivG4Ew-Lk,UCGnjeahCJW1AF34HBmQTJ-Q
QapfTGTXbxc,UCGnjeahCJW1AF34HBmQTJ-Q
eZKnEamh8mI,UCGnjeahCJW1AF34HBmQTJ-Q
a5irTX82olg,UCGnjeahCJW1AF34HBmQTJ-Q
QrOe2h9RtWI,UC9zX2xZIJ4cnwRsgBpHGvMg
cg7gCTxCEpA,UCsUWXiq3T-G9-wl-oLCuO9g
o5U5ivOnJjs,UCGnjeahCJW1AF34HBmQTJ-Q
FwjFIJ6lD9U,UCGnjeahCJW1AF34HBmQTJ-Q
YVaahuLdrng,UCW9wAlHYNUyauqIZVE46FmA
vWgLZq-k414,UCS2jZSYtPn-KOvxbMc5x-Mg
Ntn1-SocNiY,UCGnjeahCJW1AF34HBmQTJ-Q
_3-GiVIE8gc,UCGnjeahCJW1AF34HBmQTJ-Q
tVcE5PFXpbQ,UCGnjeahCJW1AF34HBmQTJ-Q
5BzkbSq7pww,UCGnjeahCJW1AF34HBmQTJ-Q
Ut_UCqgAOfY,UC_CCjVWoYWYpvuU_4vepoAQ
I67cgXr6L6o,UCGnjeahCJW1AF34HBmQTJ-Q
ImePXu7HaWI,UCGnjeahCJW1AF34HBmQTJ-Q
QoNIR8bGSEg,UCGnjeahCJW1AF34HBmQTJ-Q
QqVx5rvHdSk,UCI4QoLdb6PLd9f1Wch_o8Cg
XQZsHFQS4Q0,UC8QZVPg_GLLsL6Ou9D_NuPg
NnF1Pb_IXpI,UC8QZVPg_GLLsL6Ou9D_NuPg
ZHMDLOOP69I,UCGnjeahCJW1AF34HBmQTJ-Q
rLcab_Db-LA,UCDUxOvbwu1bnyD7AucP0ESw
Tl8EZCE18Ls,UCmR-oFhgGGe-dCRiDg2ysLw
KewfYKJy8YU,UCGnjeahCJW1AF34HBmQTJ-Q
eCna-hsmGUY,UCGnjeahCJW1AF34HBmQTJ-Q
-befR4wHsjQ,UCGnjeahCJW1AF34HBmQTJ-Q
mu0CIPXrxwM,UCOiFUE8BrJaAje9IlSmzCtg
